Source,Destination,Distance
1,1,0
1,2,930
1,3,515
1,4,399
1,5,177
1,6,899
1,7,540
1,8,238
1,9,438
1,10,465
1,11,588
1,12,699
1,13,771
1,14,29
1,15,538
1,16,200
1,17,831
1,18,110
1,19,212
1,20,477
1,21,580
1,22,512
1,23,74
1,24,272
1,25,668
1,26,179
1,27,630
1,28,475
1,29,732
1,30,448
1,31,118
1,32,576
1,33,163
1,34,655
1,35,739
1,36,389
1,37,385
1,38,307
1,39,263
1,40,403
1,41,676
1,42,342
1,43,264
1,44,565
1,45,212
1,46,696
1,47,223
1,48,201
1,49,639
1,50,279
1,51,241
1,52,782
1,53,195
1,54,617
1,55,229
1,56,196
1,57,203
1,58,442
1,59,536
1,60,660
1,61,656
1,62,111
1,63,390
1,64,646
1,65,177
1,66,398
1,67,595
1,68,371
1,69,367
1,70,438
1,71,420
1,72,724
1,73,560
1,74,660
1,75,683
1,76,714
1,77,569
1,78,526
1,79,565
1,80,636
1,81,339
1,82,369
1,83,837
1,84,716
1,85,596
1,86,308
1,87,245
1,88,382
1,89,759
1,90,220
1,91,499
1,92,609
1,93,446
1,94,643
1,95,438
1,96,481
1,97,480
1,98,289
1,99,457
1,100,203
1,101,706
1,102,533
1,103,431
1,104,216
1,105,790
1,106,153
1,107,234
1,108,724
1,109,575
1,110,180
1,111,335
1,112,185
1,113,765
1,114,512
1,115,513
1,116,443
1,117,233
1,118,705
1,119,607
1,120,766
1,121,390
1,122,464
1,123,475
1,124,786
1,125,685
1,126,344
1,127,754
1,128,471
1,129,588
1,130,612
1,131,642
1,132,336
1,133,652
1,134,436
1,135,448
1,136,618
1,137,543
1,138,150
1,139,556
1,140,719
1,141,386
1,142,97
1,143,244
1,144,736
1,145,658
1,146,713
1,147,655
1,148,21
1,149,445
1,150,292
1,151,121
1,152,301
1,153,720
1,154,500
1,155,131
1,156,207
1,157,541
1,158,439
1,159,195
1,160,471
1,161,418
1,162,484
1,163,361
1,164,488
1,165,364
1,166,17
1,167,147
1,168,714
1,169,456
1,170,274
1,171,319
1,172,334
1,173,414
1,174,634
1,175,568
1,176,793
1,177,240
1,178,745
1,179,510
1,180,129
1,181,427
1,182,865
1,183,299
1,184,384
1,185,320
1,186,683
1,187,764
1,188,592
1,189,305
1,190,770
1,191,678
1,192,136
1,193,471
1,194,354
1,195,686
1,196,227
1,197,283
1,198,494
1,199,503
1,200,607
2,1,930
2,2,0
2,3,594
2,4,812
2,5,782
2,6,90
2,7,394
2,8,800
2,9,523
2,10,742
2,11,842
2,12,774
2,13,180
2,14,911
2,15,880
2,16,868
2,17,156
2,18,1034
2,19,765
2,20,547
2,21,486
2,22,797
2,23,988
2,24,1092
2,25,273
2,26,858
2,27,636
2,28,768
2,29,407
2,30,995
2,31,968
2,32,428
2,33,802
2,34,604
2,35,317
2,36,854
2,37,548
2,38,716
2,39,957
2,40,1333
2,41,291
2,42,592
2,43,666
2,44,591
2,45,1141
2,46,382
2,47,709
2,48,1033
2,49,464
2,50,652
2,51,1011
2,52,269
2,53,797
2,54,718
2,55,1133
2,56,1094
2,57,793
2,58,507
2,59,606
2,60,966
2,61,503
2,62,1031
2,63,1076
2,64,353
2,65,770
2,66,572
2,67,748
2,68,621
2,69,597
2,70,782
2,71,562
2,72,307
2,73,419
2,74,277
2,75,801
2,76,247
2,77,778
2,78,652
2,79,367
2,80,626
2,81,1112
2,82,603
2,83,93
2,84,462
2,85,594
2,86,812
2,87,914
2,88,817
2,89,179
2,90,877
2,91,792
2,92,464
2,93,846
2,94,637
2,95,801
2,96,525
2,97,934
2,98,1199
2,99,912
2,100,977
2,101,933
2,102,422
2,103,641
2,104,808
2,105,296
2,106,971
2,107,1138
2,108,344
2,109,602
2,110,1100
2,111,657
2,112,746
2,113,177
2,114,573
2,115,729
2,116,967
2,117,1013
2,118,947
2,119,333
2,120,168
2,121,667
2,122,976
2,123,885
2,124,171
2,125,913
2,126,699
2,127,280
2,128,459
2,129,457
2,130,950
2,131,909
2,132,808
2,133,593
2,134,1037
2,135,597
2,136,862
2,137,941
2,138,1030
2,139,377
2,140,212
2,141,1064
2,142,1021
2,143,699
2,144,241
2,145,478
2,146,812
2,147,346
2,148,948
2,149,914
2,150,1141
2,151,1050
2,152,1192
2,153,359
2,154,538
2,155,849
2,156,1045
2,157,419
2,158,948
2,159,762
2,160,893
2,161,1346
2,162,479
2,163,569
2,164,601
2,165,1292
2,166,943
2,167,1076
2,168,217
2,169,896
2,170,1069
2,171,1248
2,172,1140
2,173,612
2,174,539
2,175,945
2,176,306
2,177,911
2,178,338
2,179,439
2,180,907
2,181,666
2,182,162
2,183,1171
2,184,607
2,185,871
2,186,405
2,187,274
2,188,365
2,189,1184
2,190,168
2,191,417
2,192,963
2,193,979
2,194,644
2,195,244
2,196,713
2,197,792
2,198,552
2,199,438
2,200,597
3,1,515
3,2,594
3,3,0
3,4,227
3,5,340
3,6,612
3,7,363
3,8,291
3,9,180
3,10,682
3,11,267
3,12,870
3,13,514
3,14,514
3,15,827
3,16,590
3,17,446
3,18,586
3,19,487
3,20,515
3,21,569
3,22,756
3,23,589
3,24,559
3,25,341
3,26,362
3,27,136
3,28,709
3,29,657
3,30,405
3,31,487
3,32,170
3,33,352
3,34,147
3,35,297
3,36,709
3,37,345
3,38,524
3,39,696
3,40,873
3,41,489
3,42,354
3,43,343
3,44,645
3,45,687
3,46,604
3,47,387
3,48,698
3,49,151
3,50,347
3,51,477
3,52,607
3,53,322
3,54,177
3,55,642
3,56,711
3,57,315
3,58,208
3,59,29
3,60,957
3,61,148
3,62,577
3,63,843
3,64,241
3,65,449
3,66,438
3,67,187
3,68,160
3,69,193
3,70,191
3,71,457
3,72,572
3,73,468
3,74,346
3,75,277
3,76,349
3,77,203
3,78,66
3,79,363
3,80,136
3,81,826
3,82,181
3,83,520
3,84,682
3,85,674
3,86,619
3,87,656
3,88,677
3,89,488
3,90,354
3,91,743
3,92,581
3,93,253
3,94,148
3,95,706
3,96,493
3,97,822
3,98,801
3,99,319
3,100,455
3,101,385
3,102,220
3,103,85
3,104,311
3,105,635
3,106,635
3,107,749
3,108,602
3,109,662
3,110,690
3,111,479
3,112,367
3,113,497
3,114,580
3,115,708
3,116,376
3,117,482
3,118,975
3,119,298
